version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;513;513 Albanikirchhof;09.06.2024 17:12:13 210;972;229;0;1201;583;0;10;573;331;242
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;514;514 Theaterstraße (1);09.06.2024 17:12:13 210;469;88;0;557;246;0;2;244;120;124
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;515;515 Deutsches Theater;09.06.2024 17:12:13 210;767;223;0;990;504;0;4;500;278;222
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;516;516 Nikolaistraße (2);09.06.2024 17:12:13 210;474;112;0;586;227;0;7;220;156;64
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;517;517 Theaterstraße (2);09.06.2024 17:12:13 210;483;116;0;599;260;260;5;255;178;77
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;518;518 Sültebecksbreite (2);09.06.2024 17:12:13 210;838;154;0;992;442;2;7;435;271;164
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;519;519 Arndtstraße;09.06.2024 17:12:13 210;1055;245;0;1300;530;0;5;525;357;168
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;520;520 Güterbahnhof;09.06.2024 17:12:13 210;1011;209;0;1220;403;1;3;400;281;119
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;521;521 Windausweg;09.06.2024 17:12:13 210;576;158;0;734;377;0;5;372;192;180

