version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;3213;3213 Mehrzweckhalle;;467;143;0;610;243;0;0;243;72;171
0.2;06414000;01.11.2020;Citybahn;3311;3311 Bürgerhaus Medenbach;;777;135;0;912;227;0;0;227;60;167
0.2;06414000;01.11.2020;Citybahn;3312;3312 Bürgerhaus Medenbach;;857;185;0;1042;322;2;0;322;98;224
0.2;06414000;01.11.2020;Citybahn;3411;3411 Grundschule Breckenheim;;942;151;0;1093;330;0;1;329;96;233
0.2;06414000;01.11.2020;Citybahn;3412;3412 Grundschule Breckenheim;;645;193;0;838;277;1;0;277;103;174
0.2;06414000;01.11.2020;Citybahn;3413;3413 Vereinshaus Breckenheim;;570;182;0;752;252;5;2;250;86;164
0.2;06414000;01.11.2020;Citybahn;5111;5111 Johann-Hinrich-Wichern-Schule;;963;91;0;1054;231;0;0;231;65;166
0.2;06414000;01.11.2020;Citybahn;5211;5211 Bürgerhaus Mz-Kastel;;1410;171;0;1581;356;0;2;354;183;171
0.2;06414000;01.11.2020;Citybahn;5212;5212 Bürgerhaus Mz-Kastel;;1269;295;0;1564;327;3;1;326;187;139
0.2;06414000;01.11.2020;Citybahn;5221;5221 Kindertagesstätte AWO;;1262;375;0;1637;430;1;2;428;142;286
0.2;06414000;01.11.2020;Citybahn;5222;5222 Kindertagesstätte AWO;;708;107;0;815;262;1;0;262;54;208
0.2;06414000;01.11.2020;Citybahn;5231;5231 Bürgerhaus Mz-Kastel;;818;118;0;936;153;0;0;153;44;109
0.2;06414000;01.11.2020;Citybahn;5261;5261 Kindertagesstätte Kastel;;938;94;0;1032;203;1;2;201;79;122
0.2;06414000;01.11.2020;Citybahn;5262;5262 Krautgartenschule -Im Sampel;;1402;197;0;1599;324;0;2;322;162;160
0.2;06414000;01.11.2020;Citybahn;5311;5311 Bürgerhaus Mz-Kostheim;;1293;114;0;1407;319;0;0;319;127;192
0.2;06414000;01.11.2020;Citybahn;5312;5312 Bürgerhaus Mz-Kostheim;;1322;248;0;1570;370;3;1;369;175;194
0.2;06414000;01.11.2020;Citybahn;5321;5321 Brüder-Grimm-Schule;;978;84;0;1062;171;2;0;171;68;103
