Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
2131;2131 Helfer Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2131_Helfer_Str.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2132;2132 AWO-Heim Helfe;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2132_AWOHeim_Helfe.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2133;2133 Louise-Schröder-Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2133_LouiseSchroederStr.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2134;2134 Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2134_Fley.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2135;2135 Buschstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2135_Buschstr.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2136;2136 Pappelstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2136_Pappelstr.html;Hagen-Nord;13;13 Helfe/Fley;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_13_HelfeFley.html
2141;2141 Freiligrathstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2141_Freiligrathstr.html;Hagen-Nord;14;14 Boelerheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_14_Boelerheide.html
2142;2142 Sonntagstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2142_Sonntagstr.html;Hagen-Nord;14;14 Boelerheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_14_Boelerheide.html
2143;2143 Wilhelm-Leuschner-Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2143_WilhelmLeuschnerStr.html;Hagen-Nord;14;14 Boelerheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_14_Boelerheide.html
2144;2144 Hügelstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2144_Huegelstr.html;Hagen-Nord;14;14 Boelerheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_14_Boelerheide.html
2145;2145 Hamecke;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2145_Hamecke.html;Hagen-Nord;14;14 Boelerheide;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_14_Boelerheide.html
2151;2151 Masurenstr. / Aehringhausen / Voßacker;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2151_Masurenstr__Aehringhausen__Vossacker.html;Hagen-Nord;15;15 Vorhalle/Eckesey;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_15_VorhalleEckesey.html
2152;2152 Vorhalle-Zentrum;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2152_VorhalleZentrum.html;Hagen-Nord;15;15 Vorhalle/Eckesey;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_15_VorhalleEckesey.html
