version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3191;3191 Holthausen;15.09.2025 09:03:13 809;1025;349;0;1374;555;0;6;549;176;98;37;125;16;14;42;14;9;0;15;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3192;3192 Elseyer Kirchplatz / Am Somborn;15.09.2025 09:03:13 809;1080;362;0;1442;372;0;15;357;73;71;10;96;9;4;44;19;8;4;18;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3193;3193 Mozartstr. / Alter Henkhauser Weg;15.09.2025 09:03:13 809;1214;300;0;1514;372;0;8;364;78;70;4;118;6;9;33;12;14;3;14;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3194;3194 Wachtelweg / Am Berge;15.09.2025 09:03:13 809;1004;367;0;1371;462;0;7;455;106;90;15;111;16;10;74;9;3;2;13;6;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4203;4203 Untere Selbecker Str.;15.09.2025 09:03:13 809;1008;224;0;1232;237;0;9;228;32;40;10;86;10;7;0;12;23;3;4;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4204;4204 Hüttenbergstr.;15.09.2025 09:03:13 809;770;253;0;1023;262;0;5;257;59;38;16;97;11;7;0;15;2;1;8;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4205;4205 Franzstraße;15.09.2025 09:03:13 809;748;85;0;833;148;0;3;145;13;34;3;67;4;4;0;6;5;1;7;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4211;4211 Sunderlohstr.;15.09.2025 09:03:13 809;557;124;0;681;169;0;3;166;39;25;17;56;8;0;0;11;5;2;3;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4212;4212 Selbecke;15.09.2025 09:03:13 809;749;260;0;1009;309;0;1;308;68;49;22;106;9;12;0;16;18;4;4;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4213;4213 Gesamtschule Eilpe;15.09.2025 09:03:13 809;760;202;0;962;298;3;7;291;75;55;18;86;11;7;0;12;17;3;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4214;4214 In der Welle;15.09.2025 09:03:13 809;1295;339;0;1634;504;0;6;498;100;83;27;167;36;18;0;19;33;2;10;3;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4215;4215 Hohenfor;15.09.2025 09:03:13 809;724;209;0;933;255;0;0;255;54;56;19;85;4;11;0;8;12;2;4;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4221;4221 Delstern-Süd;15.09.2025 09:03:13 809;434;168;0;602;180;0;3;177;25;37;25;45;10;2;0;17;3;1;10;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4222;4222 Zum Bollwerk / Ambrock;15.09.2025 09:03:13 809;764;280;0;1044;409;2;10;399;126;52;38;130;8;8;0;16;4;13;4;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4223;4223 Priorei;15.09.2025 09:03:13 809;647;236;0;883;285;5;1;284;87;36;19;100;7;10;0;10;0;5;8;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4224;4224 Rummenohl;15.09.2025 09:03:13 809;686;274;0;960;328;0;7;321;88;54;24;101;11;18;0;15;3;0;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);4225;4225 Zum Hohenhof / Sürenhagen;15.09.2025 09:03:13 809;742;402;0;1144;429;0;5;424;116;88;42;112;10;17;0;16;8;2;11;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);5231;5231 Jungfernbruch / Haus Harkorten;15.09.2025 09:03:13 809;1148;363;0;1511;442;0;9;433;88;104;15;144;13;9;0;19;7;4;25;5;0
